comment_cd	category_cd	comments_desc
8	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	108	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
10	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
