achievement_id	student_id	achieve_typ_cd	date_achieve	achieve_details
error: nil can't be coerced into Fixnum	218	8	6/17/2015	Research and Development
error: nil can't be coerced into Fixnum	219	3	7/8/2016	Services
error: nil can't be coerced into Fixnum	220	9	6/27/2013	Training
error: nil can't be coerced into Fixnum	221	9	10/31/2013	Human Resources
error: nil can't be coerced into Fixnum	222	8	5/29/2016	Research and Development
error: nil can't be coerced into Fixnum	223	1	5/20/2013	Sales
error: nil can't be coerced into Fixnum	224	4	2/1/2014	Training
error: nil can't be coerced into Fixnum	225	5	8/12/2016	Sales
error: nil can't be coerced into Fixnum	226	5	7/16/2011	Business Development
error: nil can't be coerced into Fixnum	227	6	12/1/2011	Human Resources
error: nil can't be coerced into Fixnum	228	1	7/21/2016	Services
error: nil can't be coerced into Fixnum	229	2	10/21/2014	Human Resources
error: nil can't be coerced into Fixnum	230	3	8/26/2011	Support
error: nil can't be coerced into Fixnum	231	3	7/6/2016	Services
error: nil can't be coerced into Fixnum	232	7	7/19/2015	Support
error: nil can't be coerced into Fixnum	233	8	4/4/2014	Human Resources
error: nil can't be coerced into Fixnum	234	5	2/11/2012	Marketing
error: nil can't be coerced into Fixnum	235	3	11/21/2015	Marketing
error: nil can't be coerced into Fixnum	236	10	9/18/2016	Training
error: nil can't be coerced into Fixnum	237	3	12/12/2013	Human Resources
error: nil can't be coerced into Fixnum	238	4	5/14/2014	Legal
error: nil can't be coerced into Fixnum	239	1	1/29/2014	Accounting
error: nil can't be coerced into Fixnum	240	6	6/20/2015	Services
error: nil can't be coerced into Fixnum	241	5	3/17/2015	Training
error: nil can't be coerced into Fixnum	242	4	11/28/2015	Research and Development
error: nil can't be coerced into Fixnum	243	10	7/1/2015	Services
error: nil can't be coerced into Fixnum	244	8	11/19/2012	Support
error: nil can't be coerced into Fixnum	245	7	9/10/2012	Support
error: nil can't be coerced into Fixnum	246	10	5/11/2016	Legal
error: nil can't be coerced into Fixnum	247	1	4/8/2014	Training
error: nil can't be coerced into Fixnum	248	10	9/17/2015	Engineering
error: nil can't be coerced into Fixnum	249	2	7/1/2012	Human Resources
error: nil can't be coerced into Fixnum	250	5	3/26/2015	Services
error: nil can't be coerced into Fixnum	251	10	12/5/2015	Engineering
error: nil can't be coerced into Fixnum	252	1	5/31/2011	Training
error: nil can't be coerced into Fixnum	253	5	4/22/2015	Services
error: nil can't be coerced into Fixnum	254	4	2/9/2014	Engineering
error: nil can't be coerced into Fixnum	255	9	9/24/2011	Marketing
error: nil can't be coerced into Fixnum	256	4	4/23/2011	Product Management
error: nil can't be coerced into Fixnum	257	7	8/18/2016	Human Resources
error: nil can't be coerced into Fixnum	258	1	11/2/2012	Accounting
error: nil can't be coerced into Fixnum	259	7	2/12/2013	Legal
error: nil can't be coerced into Fixnum	260	6	10/29/2016	Sales
error: nil can't be coerced into Fixnum	261	10	7/16/2013	Human Resources
error: nil can't be coerced into Fixnum	262	4	1/27/2015	Services
error: nil can't be coerced into Fixnum	263	8	3/19/2012	Marketing
error: nil can't be coerced into Fixnum	264	5	8/27/2016	Legal
error: nil can't be coerced into Fixnum	265	9	7/14/2016	Legal
error: nil can't be coerced into Fixnum	266	2	4/18/2014	Engineering
error: nil can't be coerced into Fixnum	267	10	2/2/2016	Research and Development
error: nil can't be coerced into Fixnum	268	1	10/1/2016	Services
error: nil can't be coerced into Fixnum	269	8	7/15/2014	Engineering
error: nil can't be coerced into Fixnum	270	1	12/13/2013	Legal
error: nil can't be coerced into Fixnum	271	7	1/3/2016	Accounting
error: nil can't be coerced into Fixnum	272	10	1/2/2016	Business Development
error: nil can't be coerced into Fixnum	273	5	11/28/2013	Marketing
error: nil can't be coerced into Fixnum	274	3	5/4/2012	Business Development
error: nil can't be coerced into Fixnum	275	10	2/22/2014	Engineering
error: nil can't be coerced into Fixnum	276	7	8/19/2015	Sales
error: nil can't be coerced into Fixnum	277	7	11/8/2011	Research and Development
error: nil can't be coerced into Fixnum	278	2	4/17/2016	Sales
error: nil can't be coerced into Fixnum	279	8	3/19/2013	Marketing
error: nil can't be coerced into Fixnum	280	2	7/19/2011	Business Development
error: nil can't be coerced into Fixnum	281	3	11/30/2010	Product Management
error: nil can't be coerced into Fixnum	282	8	9/29/2012	Human Resources
error: nil can't be coerced into Fixnum	283	8	9/25/2012	Engineering
error: nil can't be coerced into Fixnum	284	5	11/28/2011	Support
error: nil can't be coerced into Fixnum	285	1	10/3/2014	Accounting
error: nil can't be coerced into Fixnum	286	10	12/13/2015	Legal
error: nil can't be coerced into Fixnum	287	3	11/29/2014	Product Management
error: nil can't be coerced into Fixnum	288	8	1/4/2014	Sales
error: nil can't be coerced into Fixnum	289	4	1/2/2011	Marketing
error: nil can't be coerced into Fixnum	290	10	6/16/2014	Accounting
error: nil can't be coerced into Fixnum	291	6	4/2/2014	Training
error: nil can't be coerced into Fixnum	292	9	9/18/2013	Support
error: nil can't be coerced into Fixnum	293	2	3/23/2014	Research and Development
error: nil can't be coerced into Fixnum	294	7	5/6/2014	Sales
error: nil can't be coerced into Fixnum	295	8	9/24/2013	Services
error: nil can't be coerced into Fixnum	296	4	5/10/2012	Research and Development
error: nil can't be coerced into Fixnum	297	3	12/26/2012	Legal
error: nil can't be coerced into Fixnum	298	10	11/19/2016	Accounting
error: nil can't be coerced into Fixnum	299	3	8/25/2011	Support
error: nil can't be coerced into Fixnum	300	3	8/11/2014	Training
error: nil can't be coerced into Fixnum	301	7	1/14/2013	Sales
error: nil can't be coerced into Fixnum	302	5	6/11/2011	Marketing
error: nil can't be coerced into Fixnum	303	2	1/2/2014	Human Resources
error: nil can't be coerced into Fixnum	304	4	4/4/2012	Human Resources
error: nil can't be coerced into Fixnum	305	8	1/9/2016	Training
error: nil can't be coerced into Fixnum	306	10	6/17/2013	Business Development
error: nil can't be coerced into Fixnum	307	6	9/22/2015	Training
error: nil can't be coerced into Fixnum	308	4	5/24/2014	Support
error: nil can't be coerced into Fixnum	309	8	10/22/2013	Engineering
error: nil can't be coerced into Fixnum	310	6	3/28/2015	Support
error: nil can't be coerced into Fixnum	311	4	4/17/2011	Legal
error: nil can't be coerced into Fixnum	312	10	10/13/2011	Business Development
error: nil can't be coerced into Fixnum	313	7	11/22/2012	Marketing
error: nil can't be coerced into Fixnum	314	4	7/25/2014	Sales
error: nil can't be coerced into Fixnum	315	10	12/24/2011	Human Resources
error: nil can't be coerced into Fixnum	316	6	4/3/2014	Training
error: nil can't be coerced into Fixnum	317	4	4/21/2015	Legal
error: nil can't be coerced into Fixnum	318	6	1/9/2016	Research and Development
error: nil can't be coerced into Fixnum	319	7	9/8/2015	Research and Development
error: nil can't be coerced into Fixnum	320	7	5/3/2011	Engineering
error: nil can't be coerced into Fixnum	321	9	1/5/2014	Support
error: nil can't be coerced into Fixnum	322	3	3/16/2011	Services
error: nil can't be coerced into Fixnum	323	9	11/29/2010	Sales
error: nil can't be coerced into Fixnum	324	9	3/24/2016	Training
error: nil can't be coerced into Fixnum	325	2	10/5/2016	Services
error: nil can't be coerced into Fixnum	326	8	10/19/2011	Engineering
error: nil can't be coerced into Fixnum	327	8	4/15/2015	Product Management
error: nil can't be coerced into Fixnum	328	3	11/16/2015	Legal
error: nil can't be coerced into Fixnum	329	4	8/2/2011	Human Resources
error: nil can't be coerced into Fixnum	330	1	3/25/2012	Engineering
error: nil can't be coerced into Fixnum	331	6	12/4/2012	Research and Development
error: nil can't be coerced into Fixnum	332	5	10/13/2013	Legal
error: nil can't be coerced into Fixnum	333	3	4/12/2013	Human Resources
error: nil can't be coerced into Fixnum	334	10	10/7/2013	Marketing
error: nil can't be coerced into Fixnum	335	9	8/16/2015	Training
error: nil can't be coerced into Fixnum	336	7	6/8/2012	Training
error: nil can't be coerced into Fixnum	337	10	12/25/2014	Training
error: nil can't be coerced into Fixnum	338	3	7/28/2016	Accounting
error: nil can't be coerced into Fixnum	339	9	1/1/2013	Product Management
error: nil can't be coerced into Fixnum	340	8	11/6/2015	Accounting
error: nil can't be coerced into Fixnum	341	9	10/10/2011	Human Resources
error: nil can't be coerced into Fixnum	342	6	10/23/2011	Training
error: nil can't be coerced into Fixnum	343	9	2/26/2014	Services
error: nil can't be coerced into Fixnum	344	10	7/3/2016	Research and Development
error: nil can't be coerced into Fixnum	345	3	4/23/2012	Accounting
error: nil can't be coerced into Fixnum	346	2	6/1/2014	Legal
error: nil can't be coerced into Fixnum	347	7	5/10/2016	Training
error: nil can't be coerced into Fixnum	348	4	10/18/2011	Services
error: nil can't be coerced into Fixnum	349	3	6/2/2013	Services
error: nil can't be coerced into Fixnum	350	10	10/25/2011	Accounting
error: nil can't be coerced into Fixnum	351	1	9/25/2012	Services
error: nil can't be coerced into Fixnum	352	5	7/2/2015	Sales
error: nil can't be coerced into Fixnum	353	5	4/24/2014	Support
error: nil can't be coerced into Fixnum	354	10	1/19/2011	Sales
error: nil can't be coerced into Fixnum	355	4	12/28/2011	Accounting
error: nil can't be coerced into Fixnum	356	3	11/24/2012	Legal
error: nil can't be coerced into Fixnum	357	2	9/26/2012	Services
error: nil can't be coerced into Fixnum	358	7	12/24/2015	Services
error: nil can't be coerced into Fixnum	359	4	6/11/2011	Training
error: nil can't be coerced into Fixnum	360	10	6/30/2016	Training
error: nil can't be coerced into Fixnum	361	4	11/17/2012	Marketing
error: nil can't be coerced into Fixnum	362	6	3/2/2012	Training
error: nil can't be coerced into Fixnum	363	2	12/11/2013	Human Resources
error: nil can't be coerced into Fixnum	364	10	1/3/2013	Services
error: nil can't be coerced into Fixnum	365	8	6/27/2016	Business Development
error: nil can't be coerced into Fixnum	366	3	8/9/2012	Marketing
error: nil can't be coerced into Fixnum	367	1	1/28/2016	Accounting
error: nil can't be coerced into Fixnum	368	1	9/13/2016	Product Management
error: nil can't be coerced into Fixnum	369	9	6/4/2015	Sales
error: nil can't be coerced into Fixnum	370	4	11/17/2016	Product Management
error: nil can't be coerced into Fixnum	371	7	3/13/2012	Engineering
error: nil can't be coerced into Fixnum	372	2	11/2/2015	Marketing
error: nil can't be coerced into Fixnum	373	6	11/26/2014	Support
error: nil can't be coerced into Fixnum	374	10	4/7/2014	Services
error: nil can't be coerced into Fixnum	375	2	8/10/2015	Services
error: nil can't be coerced into Fixnum	376	8	3/27/2015	Legal
error: nil can't be coerced into Fixnum	377	8	7/22/2015	Training
error: nil can't be coerced into Fixnum	378	4	10/2/2016	Engineering
error: nil can't be coerced into Fixnum	379	3	1/17/2015	Research and Development
error: nil can't be coerced into Fixnum	380	9	9/14/2015	Product Management
error: nil can't be coerced into Fixnum	381	7	9/30/2013	Human Resources
error: nil can't be coerced into Fixnum	382	6	6/5/2011	Marketing
error: nil can't be coerced into Fixnum	383	9	11/29/2015	Human Resources
error: nil can't be coerced into Fixnum	384	2	6/16/2011	Product Management
error: nil can't be coerced into Fixnum	385	4	11/11/2014	Accounting
error: nil can't be coerced into Fixnum	386	5	10/19/2016	Human Resources
error: nil can't be coerced into Fixnum	387	10	10/2/2012	Business Development
error: nil can't be coerced into Fixnum	388	8	2/12/2016	Marketing
error: nil can't be coerced into Fixnum	389	8	7/2/2013	Human Resources
error: nil can't be coerced into Fixnum	390	6	12/15/2012	Marketing
error: nil can't be coerced into Fixnum	391	7	4/17/2015	Support
error: nil can't be coerced into Fixnum	392	9	8/30/2015	Training
error: nil can't be coerced into Fixnum	393	5	8/19/2013	Accounting
error: nil can't be coerced into Fixnum	394	5	5/8/2011	Sales
error: nil can't be coerced into Fixnum	395	1	1/25/2011	Support
error: nil can't be coerced into Fixnum	396	7	6/22/2013	Services
error: nil can't be coerced into Fixnum	397	7	6/3/2014	Training
error: nil can't be coerced into Fixnum	398	6	6/21/2012	Marketing
error: nil can't be coerced into Fixnum	399	8	9/13/2015	Services
error: nil can't be coerced into Fixnum	400	10	10/15/2011	Business Development
error: nil can't be coerced into Fixnum	401	6	4/24/2011	Human Resources
error: nil can't be coerced into Fixnum	402	6	9/26/2012	Business Development
error: nil can't be coerced into Fixnum	403	6	3/23/2013	Sales
error: nil can't be coerced into Fixnum	404	3	10/28/2011	Human Resources
error: nil can't be coerced into Fixnum	405	4	12/27/2015	Human Resources
error: nil can't be coerced into Fixnum	406	6	9/29/2016	Product Management
error: nil can't be coerced into Fixnum	407	5	1/31/2012	Accounting
error: nil can't be coerced into Fixnum	408	6	5/26/2015	Accounting
error: nil can't be coerced into Fixnum	409	8	12/3/2010	Research and Development
error: nil can't be coerced into Fixnum	410	8	10/14/2013	Product Management
error: nil can't be coerced into Fixnum	411	3	1/16/2015	Marketing
error: nil can't be coerced into Fixnum	412	10	4/12/2016	Product Management
error: nil can't be coerced into Fixnum	413	6	1/28/2012	Training
error: nil can't be coerced into Fixnum	414	5	10/18/2011	Support
error: nil can't be coerced into Fixnum	415	1	5/17/2016	Research and Development
error: nil can't be coerced into Fixnum	416	6	5/11/2016	Support
error: nil can't be coerced into Fixnum	417	4	12/2/2010	Marketing
error: nil can't be coerced into Fixnum	418	1	1/2/2012	Accounting
error: nil can't be coerced into Fixnum	419	1	11/22/2016	Research and Development
error: nil can't be coerced into Fixnum	420	2	4/29/2016	Services
error: nil can't be coerced into Fixnum	421	10	2/18/2011	Engineering
error: nil can't be coerced into Fixnum	422	7	7/31/2012	Support
error: nil can't be coerced into Fixnum	423	2	1/2/2013	Product Management
error: nil can't be coerced into Fixnum	424	7	6/12/2013	Legal
error: nil can't be coerced into Fixnum	425	3	12/17/2011	Services
error: nil can't be coerced into Fixnum	426	5	5/17/2014	Legal
error: nil can't be coerced into Fixnum	427	10	9/19/2013	Research and Development
error: nil can't be coerced into Fixnum	428	5	1/31/2014	Business Development
error: nil can't be coerced into Fixnum	429	1	11/6/2014	Human Resources
